Date,Close,Position
2022-11-21,145.81027221679688,2
2022-11-22,147.947998046875,0
2022-11-23,148.82476806640625,0
2022-11-25,145.90879821777344,0
2022-11-28,142.07656860351562,0
2022-11-29,139.07191467285156,-2
2022-11-30,145.82997131347656,0
2022-12-01,146.10580444335938,2
2022-12-02,145.61326599121094,0
2022-12-05,144.45077514648438,0
2022-12-06,140.78607177734375,0
2022-12-07,138.8453369140625,0
2022-12-08,140.52993774414062,0
2022-12-09,140.0471954345703,0
2022-12-12,142.3425750732422,0
2022-12-13,143.30804443359375,0
2022-12-14,141.08160400390625,0
2022-12-15,134.47134399414062,0
2022-12-16,132.51089477539062,0
2022-12-19,130.40269470214844,-2
2022-12-20,130.33375549316406,0
2022-12-21,133.43695068359375,0
2022-12-22,130.26478576660156,0
2022-12-23,129.90029907226562,0
2022-12-27,128.09747314453125,0
2022-12-28,124.16680145263672,0
2022-12-29,127.6837387084961,0
2022-12-30,127.99897003173828,0
2023-01-03,123.2112045288086,0
2023-01-04,124.48201751708984,0
2023-01-05,123.16194152832033,0
2023-01-06,127.69357299804688,0
2023-01-09,128.21571350097656,0
2023-01-10,128.78707885742188,0
2023-01-11,131.50608825683594,0
2023-01-12,131.42723083496094,0
2023-01-13,132.7572021484375,0
2023-01-17,133.9196319580078,0
2023-01-18,133.20050048828125,0
2023-01-19,133.25962829589844,0
2023-01-20,135.82095336914062,0
2023-01-23,139.01283264160156,0
2023-01-24,140.4116973876953,0
2023-01-25,139.75169372558594,0
2023-01-26,141.8205108642578,0
2023-01-27,143.76116943359375,0
2023-01-30,140.87474060058594,0
2023-01-31,142.14553833007812,0
2023-02-01,143.2686004638672,0
2023-02-02,148.5784912109375,0
2023-02-03,152.2038116455078,2
2023-02-06,149.47499084472656,0
2023-02-07,152.35159301757812,0
2023-02-08,149.66212463378906,0
2023-02-09,148.6277618408203,0
2023-02-10,148.9928436279297,0
2023-02-13,151.79489135742188,0
2023-02-14,151.153564453125,0
2023-02-15,153.255126953125,0
2023-02-16,151.65675354003906,0
2023-02-17,150.51226806640625,0
2023-02-21,146.4966278076172,0
2023-02-22,146.92088317871094,0
2023-02-23,147.40432739257812,0
2023-02-24,144.75025939941406,0
2023-02-27,145.94407653808594,0
2023-02-28,145.44093322753906,0
2023-03-01,143.3689727783203,0
2023-03-02,143.96092224121094,0
2023-03-03,149.01254272460938,0
2023-03-06,151.7751922607422,0
2023-03-07,149.57493591308594,0
2023-03-08,150.8279571533203,0
2023-03-09,148.57846069335938,0
2023-03-10,146.516357421875,0
2023-03-13,148.46005249023438,0
2023-03-14,150.5517120361328,0
2023-03-15,150.9463653564453,0
2023-03-16,153.76820373535156,0
2023-03-17,152.92950439453125,0
2023-03-20,155.29747009277344,0
2023-03-21,157.15234375,0
2023-03-22,155.7217559814453,0
2023-03-23,156.8070068359375,0
2023-03-24,158.10940551757812,0
2023-03-27,156.1657257080078,0
2023-03-28,155.54412841796875,0
2023-03-29,158.62242126464844,0
2023-03-30,160.19122314453125,0
2023-03-31,162.69729614257812,0
2023-04-03,163.95033264160156,0
2023-04-04,163.41754150390625,0
2023-04-05,161.572509765625,0
2023-04-06,162.4604949951172,0
2023-04-10,159.86561584472656,0
2023-04-11,158.6520538330078,0
2023-04-12,157.96139526367188,0
2023-04-13,163.3484649658203,0
2023-04-14,163.00315856933594,0
2023-04-17,163.02285766601562,0
2023-04-18,164.2462921142578,0
2023-04-19,165.3908233642578,0
2023-04-20,164.4239044189453,0
2023-04-21,162.81568908691406,0
2023-04-24,163.12155151367188,0
2023-04-25,161.5823974609375,0
2023-04-26,161.572509765625,0
2023-04-27,166.16041564941406,0
2023-04-28,167.4134063720703,0
2023-05-01,167.32461547851562,0
2023-05-02,166.28863525390625,0
2023-05-03,165.21322631835938,0
2023-05-04,163.5753936767578,0
2023-05-05,171.25148010253906,0
2023-05-08,171.18240356445312,0
2023-05-09,169.47552490234375,0
2023-05-10,171.24160766601562,0
2023-05-11,171.4290771484375,0
2023-05-12,170.50035095214844,0
2023-05-15,170.00634765625,0
2023-05-16,170.00634765625,0
2023-05-17,170.618896484375,0
2023-05-18,172.95057678222656,0
2023-05-19,173.0592803955078,0
2023-05-22,172.11080932617188,0
2023-05-23,169.50245666503906,0
2023-05-24,169.7790985107422,0
2023-05-25,170.91531372070312,0
2023-05-26,173.32601928710938,0
2023-05-30,175.173583984375,0
2023-05-31,175.12420654296875,0
2023-06-01,177.93011474609375,0
2023-06-02,178.7798309326172,0
2023-06-05,177.42626953125,0
2023-06-06,177.06072998046875,0
2023-06-07,175.68736267089844,0
2023-06-08,178.40440368652344,0
2023-06-09,178.7897186279297,0
2023-06-12,181.58578491210935,0
2023-06-13,181.11151123046875,0
2023-06-14,181.7438507080078,0
2023-06-15,183.77915954589844,0
